stage,source,query_or_action,date,count,notes
identification,arXiv (cs.DC/cs.CR/cs.OS),"(sandbox OR isolation OR microVM OR gVisor OR unikernel OR WebAssembly) AND (serverless OR ""function-as-a-service"" OR ""cold start"")",2026-05-30,180,"approximate to nearest five"
identification,ACM Digital Library + IEEE Xplore,"(snapshot OR fork OR restore OR ""copy-on-write"") AND serverless; (scheduling OR ""bin packing"" OR placement OR ""scale to zero"") AND serverless",2026-05-30,140,"systems venues OSDI/SOSP/NSDI/ATC/EuroSys/ASPLOS"
identification,arXiv (cs.CR) + USENIX Security,"(""LLM agent"" OR ""code agent"" OR ""tool use"") AND (sandbox OR ""code execution"" OR ""prompt injection"" OR ""sandbox escape""); (TEE OR SGX OR ""SEV-SNP"" OR TDX) AND (container OR enclave)",2026-05-30,95,"agentic-security + confidential-computing"
identification,DBLP + Google Scholar,"venue browse 1993-2026 + forward/backward snowballing from seed set",2026-05-30,105,"citation chasing, one round each direction"
deduplication,merged,"remove cross-source duplicates (arXiv-vs-venue, preprint-vs-camera-ready)",2026-05-30,-110,"520 identified -> 410 distinct"
screening,title+abstract,"exclude off-topic / pure-application / non-verifiable-authorship",2026-05-30,-260,"of 410 screened -> 150 retained"
eligibility,full-text,"exclude no isolation/scheduling/agent-execution content / superseded duplicate",2026-05-30,-70,"of 150 assessed -> 80 included"
included,synthesis,"works addressing >=1 of the 8 taxonomy axes; rows of the evidence matrix",2026-05-30,80,"final included corpus"
seed,isolation,Firecracker microVM (firecracker20),2026-05-30,1,"seed"
seed,isolation,gVisor user-space kernel (gvisor19),2026-05-30,1,"seed"
seed,isolation,Faasm WASM-SFI (faasm20),2026-05-30,1,"seed"
seed,lifecycle,Catalyzer init-less restore (catalyzer20),2026-05-30,1,"seed"
seed,agentic,InjecAgent benchmark (injecagent24),2026-05-30,1,"seed"
seed,agentic,AgentDojo dynamic benchmark (agentdojo24),2026-05-30,1,"seed"
